work_item_id	source_file	yaml_edge_index	source	target	sign	review_status	current_evidence_status	context	self_regulation	mechanism_excerpt	evidence_excerpt
legacy-evidence-e8046a5474bb21275555	benchmarks/human/systems/bilirubin_liver_function.yaml	6	hepatic_conjugated_bilirubin_excretion	plasma_bile_acids	?	proposal-pending	legacy-evidence-unclassified		False	ambiguous: MRP2/ABCC2 export of bilirubin glucuronides is not the principal bile-acid pump (BSEP/ABCB11 handles bile acids), but cholestatic loss of canalicular secretory function broadly reduces biliary clearance and can raise plasma bile 	Boron & Boulpaep Medical Physiology (distinct canalicular transporters: MRP2 for organic anions/conjugated bilirubin vs BSEP for bile acids); flagged '?' per PhysioMap policy (do not fabricate a determinate sign)
legacy-evidence-8997a2d9d22c408e2297	benchmarks/human/systems/bilirubin_liver_function.yaml	7	hepatic_albumin_synthesis	plasma_albumin	+	proposal-pending	legacy-evidence-unclassified		False	albumin is synthesized almost exclusively by hepatocytes and secreted into plasma; synthesis rate sets the steady-state plasma albumin concentration (reduced hepatic synthetic function in liver failure -> hypoalbuminemia)	Boron & Boulpaep Medical Physiology (hepatic protein synthesis; albumin); Harrison's Principles of Internal Medicine (hypoalbuminemia in chronic liver failure / cirrhosis as a marker of synthetic dysfunction) | textbook corroboration: OpenS
legacy-evidence-6636628d4a0585fd1846	benchmarks/human/systems/bilirubin_liver_function.yaml	8	plasma_albumin	plasma_unconjugated_bilirubin	+	proposal-pending	legacy-evidence-unclassified		False	unconjugated bilirubin is water-insoluble and circulates tightly bound to albumin; higher plasma albumin increases the bound-bilirubin carrying capacity, raising measured total plasma unconjugated bilirubin (and conversely lowering free bil	Boron & Boulpaep Medical Physiology (albumin binding of unconjugated bilirubin); Lehninger Principles of Biochemistry (albumin transport of bilirubin); clinical correlate: low albumin / displacers raise free bilirubin (kernicterus risk)
legacy-evidence-343a8ab6f0f476e2e880	benchmarks/human/systems/body_fluids_osmolality.yaml	0	plasma_sodium_concentration	plasma_osmolality	+	proposal-pending	legacy-evidence-unclassified		False	sodium (with accompanying anions) is the principal extracellular osmole	Boron & Boulpaep; Guyton & Hall; osmolality ~= 2*[Na+] + glucose/18 + BUN/2.8
legacy-evidence-cd66dd583bf845f073a3	benchmarks/human/systems/body_fluids_osmolality.yaml	5	water_intake	plasma_osmolality	-	proposal-pending	legacy-evidence-unclassified		False	ingested free water dilutes body fluids, lowering osmolality	Boron & Boulpaep; Guyton & Hall — closes osmoregulatory negative feedback
legacy-evidence-c674dd56bd273b86bfb6	benchmarks/human/systems/body_fluids_osmolality.yaml	7	water_intake	extracellular_fluid_volume	+	proposal-pending	legacy-evidence-unclassified		False	ingested water is distributed into and expands the extracellular fluid	Boron & Boulpaep; Guyton & Hall — coupling to volume core
legacy-evidence-b2bf6ea39e9b2e662964	benchmarks/human/systems/calcium_pth.yaml	4	calcitriol	pth	-	proposal-pending	legacy-evidence-unclassified		False	calcitriol directly suppresses PTH gene transcription/secretion (VDR feedback)	Peterson & Riggs 2010; standard endocrinology (vitamin D - PTH feedback)
legacy-evidence-9af1986486997e632f15	benchmarks/human/systems/calcium_pth.yaml	5	pth	plasma_phosphate	-	proposal-pending	legacy-evidence-unclassified		False	PTH induces phosphaturia (downregulates proximal-tubule NaPi cotransporters)	Peterson & Riggs 2010 (renal phosphate handling); HumMod; textbook | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-152 (25.9: Endocrine Regulation of Kidney Function): 'It [PTH] also blocks reabsorption of phosphate (PO3–), 
legacy-evidence-44f2559aa3045eceaed3	benchmarks/human/systems/calcium_pth.yaml	6	calcitriol	plasma_phosphate	+	proposal-pending	legacy-evidence-unclassified		False	calcitriol increases intestinal phosphate absorption	Peterson & Riggs 2010 (gut phosphate); standard endocrinology
legacy-evidence-532fa4523b676767f2e0	benchmarks/human/systems/calcium_pth.yaml	7	plasma_phosphate	pth	+	proposal-pending	legacy-evidence-unclassified		False	hyperphosphatemia raises PTH (lowers ionised Ca2+ and directly stimulates parathyroid)	Peterson & Riggs 2010; clinical CKD-MBD; standard endocrinology
legacy-evidence-6ab08c7cd4c605c21474	benchmarks/human/systems/calcium_pth.yaml	8	plasma_phosphate	calcitriol	-	proposal-pending	legacy-evidence-unclassified		False	phosphate (via FGF23) suppresses renal 1-alpha-hydroxylase, lowering calcitriol	Peterson & Riggs 2010; FGF23-phosphate axis; standard endocrinology
legacy-evidence-aabfeb40f80b558e7f39	benchmarks/human/systems/cardiac_function.yaml	0	venous_return	end_diastolic_volume	+	proposal-pending	legacy-evidence-unclassified		False	venous return / diastolic filling raises ventricular end-diastolic volume (quality: filling flow -> disposition: ventricular compliance -> process: heart process (diastolic filling) GO:0003015 -> quality: end-diastolic volume)	Guyton & Hall Textbook of Medical Physiology, 'The Heart as a Pump' (venous return sets EDV); legacy example-frank-starling.json (venous_return -> end_diastolic_volume) | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-108 (19
legacy-evidence-3bd7e14debbddd4af36d	benchmarks/human/systems/cardiac_function.yaml	1	end_diastolic_volume	stroke_volume	+	proposal-pending	legacy-evidence-unclassified		False	Frank-Starling law — greater diastolic fibre stretch (sarcomere length) increases myofilament overlap and calcium sensitivity, raising contractile force and ejected volume (quality: EDV/fibre length -> disposition: length-dependent activati	Guyton & Hall, Frank-Starling law of the heart (ventricular function curve); Boron & Boulpaep 'The Heart as a Pump' (preload -> SV); legacy example-frank-starling.json | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-108 (19.
legacy-evidence-7ee42351548057009965	benchmarks/human/systems/cardiac_function.yaml	2	myocardial_contractility	stroke_volume	+	proposal-pending	legacy-evidence-unclassified		False	increased inotropic state raises systolic elastance / force at given preload and afterload, ejecting more volume (quality: contractility -> disposition: crossbridge cycling capacity -> process: regulation of cardiac muscle contraction GO:00	Boron & Boulpaep, Medical Physiology (contractility as a determinant of SV; Suga end-systolic elastance); Guyton & Hall (sympathetic inotropy shifts the function curve up)
legacy-evidence-a5c0a7ff94319e8b4e35	benchmarks/human/systems/cardiac_function.yaml	3	afterload	stroke_volume	-	proposal-pending	legacy-evidence-unclassified		False	higher ejection load (systolic wall stress / aortic pressure) opposes shortening, raising end-systolic volume and reducing ejected volume at fixed preload and contractility (quality: afterload -> disposition: load-dependent shortening -> pr	Guyton & Hall (raised aortic/arterial pressure reduces stroke volume at constant filling); Boron & Boulpaep (afterload inversely related to SV); legacy example-frank-starling.json (afterload reduces stroke_volume)
legacy-evidence-5461956319a024a5f0aa	benchmarks/human/systems/cardiac_function.yaml	4	mean_arterial_pressure	afterload	+	proposal-pending	legacy-evidence-unclassified		False	arterial pressure during ejection sets the load the ventricle ejects against; by Laplace systolic wall stress rises with chamber pressure (quality: arterial pressure -> disposition: ventricular wall mechanics -> quality: afterload)	Guyton & Hall (aortic/arterial pressure is the principal afterload); Boron & Boulpaep (afterload ~ systolic wall stress, rises with arterial pressure)
legacy-evidence-2bf498977f5ae4e2758d	benchmarks/human/systems/cardiac_function.yaml	5	total_peripheral_resistance	afterload	+	proposal-pending	legacy-evidence-unclassified		False	higher systemic vascular resistance raises the pressure the ventricle must develop to eject, increasing afterload (quality: peripheral resistance -> disposition: impedance to ejection -> quality: afterload)	Guyton & Hall (peripheral resistance contributes to the impedance load on the ventricle); Boron & Boulpaep (afterload reflects aortic input impedance / TPR)
legacy-evidence-d26eaf4b0892b81a70b8	benchmarks/human/systems/cardiac_function.yaml	7	stroke_volume	end_diastolic_volume	-	proposal-pending	legacy-evidence-unclassified		False	at a given filling rate, greater ejection lowers the residual (end-systolic) volume carried into the next diastole, reducing end-diastolic volume — the volume-draining arm that, with venous filling, closes the ventricular volume balance	Boron & Boulpaep (EDV = ESV + venous filling; greater emptying lowers carried-over volume); Guyton & Hall (ventricular volume balance over the cardiac cycle)
legacy-evidence-21b04d667021f020ad9a	benchmarks/human/systems/cardiac_function.yaml	8	myocardial_contractility	ejection_fraction	+	proposal-pending	legacy-evidence-unclassified		False	EF is a load-dependent index of contractility; raising inotropy increases the fraction of EDV ejected (quality: contractility -> process: regulation of cardiac muscle contraction GO:0055117 -> quality: ejection fraction)	Boron & Boulpaep (EF rises with contractility); Guyton & Hall (inotropic state and ejection fraction)
legacy-evidence-d02066f3438c62e1204c	benchmarks/human/systems/cardiac_function.yaml	9	afterload	ejection_fraction	-	proposal-pending	legacy-evidence-unclassified		False	increased ejection load reduces the fraction of end-diastolic volume ejected (quality: afterload -> disposition: load-dependent shortening -> quality: ejection fraction)	Boron & Boulpaep (afterload lowers EF); Guyton & Hall (raised arterial pressure reduces ejection fraction)
legacy-evidence-d0738e9a44406c5e4f88	benchmarks/human/systems/cardiac_function.yaml	10	end_diastolic_volume	ejection_fraction	?	proposal-pending	legacy-evidence-unclassified		False	EF = SV / EDV: by Frank-Starling a larger EDV raises the numerator SV (+), but EDV is also the denominator (-); the net sign of EF w.r.t. EDV is genuinely ambiguous and context-dependent (depends on the slope of the function curve vs. the v	Boron & Boulpaep (EF = SV/EDV; in dilated ventricles SV may rise while EF falls — net direction not determinate); Guyton & Hall (ventricular function curve)
legacy-evidence-3ec4abb49114213bc7e4	benchmarks/human/systems/coagulation_hemostasis.yaml	0	vessel_injury	tissue_factor	+	proposal-pending	legacy-evidence-unclassified		False	vascular wall injury exposes subendothelial tissue factor (FIII) to plasma, increasing active TF available to bind FVIIa	Boron & Boulpaep, Medical Physiology (hemostasis: TF exposure on injury); Wajima 2009 (TF-initiated extrinsic pathway), BioModels BIOMD0000000339
legacy-evidence-595ab100afc6370473e2	benchmarks/human/systems/coagulation_hemostasis.yaml	11	fibrin_clot	blood_viscosity	+	proposal-pending	legacy-evidence-unclassified		False	a fibrin/platelet clot burden raises local effective whole-blood viscosity and impedes flow within the affected vessel segment	Boron & Boulpaep / Guyton & Hall (clot impeding flow); rheology of fibrin networks (clot raises apparent viscosity)
legacy-evidence-b682df2e897511a642a9	benchmarks/human/systems/energy_balance_appetite.yaml	0	adipose_tissue_mass	leptin	+	proposal-pending	legacy-evidence-unclassified		False	adipocyte mass increases leptin (LEP) gene expression and secretion; circulating leptin is proportional to total fat mass (the afferent adiposity signal of the lipostat)	Friedman & Halaas, Nature 1998 (leptin proportional to fat mass); Williams Textbook of Endocrinology | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-098 (17.11: Organs with Secondary Endocrine Functions): 'leptin, a protein 
legacy-evidence-3fb844dbeac53dbc0534	benchmarks/human/systems/energy_balance_appetite.yaml	1	leptin	hypothalamic_appetite_drive	-	proposal-pending	legacy-evidence-unclassified		False	leptin acts on arcuate-nucleus neurons (inhibits orexigenic NPY/AgRP, activates anorexigenic POMC), lowering net orexigenic appetite drive	Boron & Boulpaep, Medical Physiology (arcuate appetite control); Friedman & Halaas, Nature 1998 | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-098 (17.11: Organs with Secondary Endocrine Functions): 'Binding of leptin produ
legacy-evidence-4bdc619eedc1d789c0bf	benchmarks/human/systems/energy_balance_appetite.yaml	3	ghrelin	hypothalamic_appetite_drive	+	proposal-pending	legacy-evidence-unclassified		False	ghrelin activates arcuate NPY/AgRP neurons via GHS-R1a, increasing orexigenic appetite drive	Boron & Boulpaep, Medical Physiology (ghrelin orexigenic action on hypothalamus) | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-134 (23.5: The Stomach): hormone table — ghrelin 'Regulates food intake, primarily by stimulati
legacy-evidence-2bed4fcf3dfb7087b37f	benchmarks/human/systems/energy_balance_appetite.yaml	4	hypothalamic_appetite_drive	food_intake	+	proposal-pending	legacy-evidence-unclassified		False	net hypothalamic orexigenic drive increases motivated feeding behaviour and energy intake	Boron & Boulpaep, Medical Physiology (hypothalamic regulation of feeding)
legacy-evidence-109d8db0d90bd5a5655c	benchmarks/human/systems/energy_balance_appetite.yaml	8	adipose_tissue_mass	ghrelin	-	proposal-pending	legacy-evidence-unclassified		False	circulating (fasting) ghrelin is inversely related to adiposity: rising fat mass suppresses ghrelin, adding a third adiposity-signal limb to the lipostat (higher fat mass -> lower ghrelin -> lower orexigenic drive)	Tschoep M, Weyer C, Tataranni PA, Devanarayan V, Ravussin E, Heiman ML. Circulating ghrelin levels are decreased in human obesity. Diabetes 2001;50(4):707-709, PMID 11289032 (ghrelin negatively correlated with percent body fat) [citations P
legacy-evidence-c9ffe1e6ae08b200a521	benchmarks/human/systems/energy_balance_appetite.yaml	9	leptin	metabolic_rate	+	proposal-pending	legacy-evidence-unclassified		False	leptin signalling supports sympathetic thermogenic tone and resting energy expenditure; falling leptin during weight loss lowers metabolic rate (adaptive thermogenesis)	Friedman & Halaas, Nature 1998; Williams Textbook of Endocrinology (leptin and energy expenditure)
legacy-evidence-0cd774595fac00bdf5a2	benchmarks/human/systems/energy_balance_appetite.yaml	10	plasma_insulin	hypothalamic_appetite_drive	-	proposal-pending	legacy-evidence-unclassified		False	insulin is a CNS adiposity signal acting on arcuate neurons (like leptin) to suppress orexigenic appetite drive	Boron & Boulpaep, Medical Physiology (insulin as central adiposity/anorexigenic signal)
legacy-evidence-c7115c7ec33bcee33974	benchmarks/human/systems/energy_balance_appetite.yaml	11	adipose_tissue_mass	plasma_insulin	+	proposal-pending	legacy-evidence-unclassified		False	increased adiposity raises basal insulin (adiposity-associated insulin resistance / compensatory hyperinsulinaemia)	Williams Textbook of Endocrinology (adiposity and fasting insulin); Boron & Boulpaep
legacy-evidence-38896a4cb21075fbb8cc	benchmarks/human/systems/energy_balance_appetite.yaml	13	plasma_glucose	hypothalamic_appetite_drive	-	proposal-pending	legacy-evidence-unclassified		False	glucose-sensing hypothalamic neurons reduce orexigenic drive when substrate (glucose) availability is high (glucostatic component of satiety)	Boron & Boulpaep, Medical Physiology (glucostatic regulation of feeding)
legacy-evidence-2a591f325767ae997dfc	benchmarks/human/systems/gi_incretin.yaml	0	gastric_emptying_rate	glp1	+	proposal-pending	legacy-evidence-unclassified		False	faster gastric emptying delivers more nutrient to intestinal L cells, raising GLP-1 secretion	Nauck & Meier 2021 Diabetes Obes Metab (oral nutrient -> L-cell GLP-1); Deane 2010 JCEM (emptying drives postprandial incretin/glycaemia)
legacy-evidence-1d4d3ba4479fa3c4ba20	benchmarks/human/systems/gi_incretin.yaml	1	gastric_emptying_rate	gip	+	proposal-pending	legacy-evidence-unclassified		False	faster gastric emptying delivers more nutrient to proximal small-intestinal K cells, raising GIP secretion	Nauck & Meier 2021 Diabetes Obes Metab (oral nutrient -> K-cell GIP); E-DES BioModels MODEL2403070001 (gut nutrient appearance)
legacy-evidence-9585ea8540407317b177	benchmarks/human/systems/gi_incretin.yaml	3	gip	plasma_insulin	+	proposal-pending	legacy-evidence-unclassified		False	GIP binds beta-cell GIPR, potentiating glucose-dependent insulin secretion	Nauck & Meier 2021 Diabetes Obes Metab (GIP insulinotropic action) | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-097 (17.10: The Endocrine Pancreas): GIP (glucose-dependent insulinotropic peptide) is the initial trigger fo
legacy-evidence-dc66fad49d3a7644bbb7	benchmarks/human/systems/gi_incretin.yaml	7	gastrin	gastric_acid_secretion	+	proposal-pending	legacy-evidence-unclassified		False	gastrin stimulates parietal-cell H+/K+-ATPase acid secretion (directly + via ECL-cell histamine)	Boron & Boulpaep Medical Physiology, GI chapter (gastrin -> parietal acid secretion) | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-098 (17.11: Organs with Secondary Endocrine Functions): 'gastrin, a peptide hormone secrete
legacy-evidence-8e1f0105db53bae077a5	benchmarks/human/systems/gi_incretin.yaml	8	gastric_acid_secretion	gastrin	-	proposal-pending	legacy-evidence-unclassified		False	antral luminal acidification (low pH) releases somatostatin from antral D cells, which paracrine-inhibits G-cell gastrin secretion — the antral-pH negative feedback that makes the gastric-acid arm a regulated loop (gastrin -> acid -| gastri	Schubert 2020, Comprehensive Physiology 10(1):197-228, doi:10.1002/cphy.c180035 (low antral pH -> D-cell somatostatin -| gastrin); StatPearls 'Physiology, Gastrin' NBK534822 (pH<3 negative feedback on gastrin) | textbook corroboration: Open
legacy-evidence-535a5eff8c3e871c0c33	benchmarks/human/systems/glucose_insulin.yaml	7	cortisol	hepatic_glucose_production	+	proposal-pending	legacy-evidence-unclassified		False	glucocorticoid induction of gluconeogenic enzymes (PEPCK/G6Pase)	HumMod; cortisol gluconeogenesis; standard endocrinology | textbook corroboration: OpenStax Anatomy & Physiology 2e §anp-090 (17.3: Hormones): table entry 'Cortisol, corticosterone, cortisone: Increase blood glucose levels'
legacy-evidence-8a5885c4b6fd5729241e	benchmarks/human/systems/glucose_insulin.yaml	9	sympathetic_tone	plasma_glucagon	+	proposal-pending	legacy-evidence-unclassified		False	adrenergic/sympathetic stimulation of alpha-cell glucagon secretion	Catecholamine stimulation of glucagon; HumMod; standard endocrinology
legacy-evidence-b37eb15cf2410d41c629	benchmarks/human/systems/glucose_insulin.yaml	10	sympathetic_tone	hepatic_glucose_production	+	proposal-pending	legacy-evidence-unclassified		False	catecholamine-driven hepatic glycogenolysis (beta-adrenergic)	Catecholamine glycogenolysis; HumMod liver
legacy-evidence-1febf611c81df8f8803e	benchmarks/human/systems/glucose_insulin.yaml	11	sympathetic_tone	plasma_insulin	-	proposal-pending	legacy-evidence-unclassified		False	alpha-2 adrenergic inhibition of beta-cell insulin secretion	Adrenergic suppression of insulin secretion; standard endocrinology
legacy-evidence-9b05e533f49736797a3c	benchmarks/human/systems/growth_hormone_igf1.yaml	5	ghrh	somatostatin	?	proposal-pending	legacy-evidence-unclassified		False	Forward arm of the reciprocal GHRH/SRIF hypothalamic coupling. Anatomical evidence is genuinely mixed: GHRH terminals have been reported to contact periventricular somatostatin neurons (rat), but in the human hypothalamus GHRH fibres common	Horvath et al. 1992 (intrahypothalamic GHRH/SRIF interactions, PMID 1358561) report GHRH terminals contacting periventricular SRIF neurons, but Kovacs et al. 2015 (Neuroscience, GHRH/SST juxtapositions in human hypothalamus, doi:10.1016/j.n
legacy-evidence-25511b82d0268c4804b9	benchmarks/human/systems/growth_hormone_igf1.yaml	11	hepatic_igf1	ghrh	-	proposal-pending	legacy-evidence-unclassified		False	IGF-1 inhibits hypothalamic GHRH neurons / lowers GHRH (Ghrh mRNA) drive (hypothalamic arm of long-loop feedback).	Al-Samerria & Radovick 2021, Cells 10(10):2664 — review of IGF-1 neuroendocrine control of growth: IGF-1 negative feedback alters hypothalamic Ghrh/Sst mRNA (inhibits GHRH, stimulates SRIF); functional support Obal et al. 1999, Brain Res (P
legacy-evidence-ec4469e3ad66b00b1808	benchmarks/human/systems/hpo_amino_acids.yaml	2	argininosuccinate_synthetase_activity	plasma_argininosuccinate	+	proposal-pending	legacy-evidence-unclassified		False	ASS1 produces argininosuccinate; reduced activity lowers its formation	Lehninger, urea cycle step 3 (ASS1 forms argininosuccinate)
legacy-evidence-05f8cae7b58b3a024e36	benchmarks/human/systems/hpo_amino_acids.yaml	4	arginase_activity	plasma_ornithine	+	proposal-pending	legacy-evidence-unclassified		False	arginase produces ornithine from arginine; reduced activity lowers ornithine production	Lehninger, urea cycle (arginase yields ornithine + urea)
legacy-evidence-566cafed26f174775fc2	benchmarks/human/systems/hpo_amino_acids.yaml	17	gamma_glutamylcysteine_synthetase_activity	plasma_glutathione	+	proposal-pending	legacy-evidence-unclassified		False	gamma-glutamylcysteine synthetase (GCLC) catalyzes the first, rate-limiting step of glutathione synthesis; reduced activity lowers glutathione	OMMBID gamma-glutamylcysteine synthetase deficiency — low erythrocyte glutathione
legacy-evidence-e6d7ca8506c950e7eea5	benchmarks/human/systems/hpo_amino_acids.yaml	22	phosphoserine_phosphatase_activity	plasma_phosphoserine	-	proposal-pending	legacy-evidence-unclassified		False	PSPH consumes O-phosphoserine; reduced activity causes phosphoserine to accumulate	Lehninger, serine biosynthesis (PSPH dephosphorylates phosphoserine)
legacy-evidence-e2e8e9afb01372c2b13d	benchmarks/human/systems/hpo_amino_acids.yaml	25	glycine_cleavage_enzyme_activity	urinary_glycine	-	proposal-pending	legacy-evidence-unclassified		False	elevated plasma glycine raises the filtered load and urinary glycine excretion	OMMBID nonketotic hyperglycinemia — glycinuria secondary to hyperglycinemia
legacy-evidence-4495f1478e8b14360980	benchmarks/human/systems/hpo_amino_acids.yaml	28	urocanase_activity	plasma_urocanic_acid	-	proposal-pending	legacy-evidence-unclassified		False	urocanase (UROC1) hydrolyzes urocanate further down histidine catabolism; reduced activity would raise urocanate. The cited disorder (urocanase deficiency) gives elevated urocanate, hence reduced circulating urocanate maps to reduced UPSTRE	OMMBID urocanase deficiency (urocanic aciduria) — elevated urocanate when UROC1 is deficient
legacy-evidence-ae2d7a458b14f6b56208	benchmarks/human/systems/hpo_csf_markers.yaml	0	csf_sepiapterin	csf_dihydrobiopterin	+	proposal-pending	legacy-evidence-unclassified		False	sepiapterin is reduced by sepiapterin reductase / aldo-keto reductases to 7,8-dihydrobiopterin (BH2) in the salvage pathway; a larger sepiapterin pool feeds more BH2 (product formation)	Lehninger Principles of Biochemistry (tetrahydrobiopterin biosynthesis & salvage); Blau et al., Physician's Guide to Inherited Metabolic Diseases (sepiapterin-reductase deficiency: raised CSF sepiapterin and BH2, low BH4)
legacy-evidence-37cd89b20a949f085f7a	benchmarks/human/systems/hpo_csf_markers.yaml	1	csf_dihydrobiopterin	csf_tetrahydrobiopterin	+	proposal-pending	legacy-evidence-unclassified		False	7,8-dihydrobiopterin (BH2) is reduced to tetrahydrobiopterin (BH4) by dihydrofolate reductase / dihydropteridine reductase; more substrate (BH2) supports more BH4 regeneration (product formation, salvage limb)	Lehninger Principles of Biochemistry (BH4 regeneration by dihydropteridine reductase, QDPR); Blau et al., Physician's Guide to Inherited Metabolic Diseases (BH4 salvage)
legacy-evidence-2ddf86a9e536c942eff7	benchmarks/human/systems/hpo_csf_markers.yaml	2	csf_tetrahydrobiopterin	csf_dopa	+	proposal-pending	legacy-evidence-unclassified		False	BH4 is the obligatory cofactor of tyrosine hydroxylase, the rate-limiting step converting tyrosine to L-DOPA; reduced BH4 lowers DOPA/dopamine synthesis (BH4-deficiency states show low CSF HVA)	Lehninger Principles of Biochemistry (tyrosine hydroxylase requires BH4); Blau et al., Physician's Guide to Inherited Metabolic Diseases (BH4-synthesis defects: low CSF HVA and 5-HIAA)
legacy-evidence-cf0167ddb5ff9a64d792	benchmarks/human/systems/hpo_csf_markers.yaml	5	csf_dopa	csf_dopamine	+	proposal-pending	legacy-evidence-unclassified		False	L-DOPA is decarboxylated to dopamine by aromatic-L-amino-acid decarboxylase (AADC); more DOPA supports more dopamine (product formation). In AADC deficiency DOPA accumulates while dopamine/HVA fall (separate AADC lesion), so this edge is th	Lehninger Principles of Biochemistry (catecholamine biosynthesis: DOPA -> dopamine by AADC); Blau et al., Physician's Guide to Inherited Metabolic Diseases (catecholamine pathway)
